timestamp,device_id,temperature,humidity,pressure,gas_resistance,co2,absolute_humidity
2025-07-05 11:39:45,P2,30.75598,51.3192,998.1239,135019,,16.21
2025-07-05 11:54:04,P2,25.50852,73.70003,998.134,42766,,17.46
2025-07-05 11:54:34,P2,26.0882,73.79562,998.1329,76590,,18.06
2025-07-05 11:55:04,P2,26.3675,72.49602,998.1121,97131,,18.02
2025-07-05 11:55:35,P2,26.3468,71.83736,998.0913,109047,,17.83
2025-07-05 11:56:05,P2,26.19699,71.88814,998.0943,117369,,17.7
2025-07-05 11:56:35,P2,26.03566,71.56288,998.0828,123172,,17.46
2025-07-05 11:57:04,P2,25.87043,71.46658,998.0536,128636,,17.27
2025-07-05 11:57:34,P2,25.7218,71.13123,998.05,131603,,17.05
2025-07-05 11:58:05,P2,25.60051,71.23681,998.0339,134404,,16.96
2025-07-05 11:58:35,P2,25.50539,70.95289,998.0341,137006,,16.8
2025-07-05 11:59:05,P2,25.42551,70.80839,998.0209,138726,,16.7
2025-07-05 11:59:35,P2,25.35109,70.59769,998.0209,139491,,16.58
2025-07-05 12:00:05,P2,25.28801,70.42809,998.0115,141727,,16.48
2025-07-05 12:00:36,P2,25.23098,70.20757,998.0115,142872,,16.37
2025-07-05 12:01:06,P2,25.19992,69.9894,997.9975,143801,,16.29
2025-07-05 12:01:36,P2,25.16477,69.80405,997.9826,145936,,16.22
2025-07-05 12:02:06,P2,25.11203,69.69301,997.9846,145098,,16.15
2025-07-05 12:02:37,P2,25.0673,69.37033,997.9711,146299,,16.03
2025-07-05 12:03:07,P2,25.01867,69.49957,997.9699,148137,,16.02
2025-07-05 12:03:37,P2,24.98215,69.24767,997.9632,148510,,15.93
2025-07-05 12:04:07,P2,24.94953,69.29678,997.9608,148137,,15.91
2025-07-05 12:04:38,P2,24.91594,69.16855,997.9479,148885,,15.85
2025-07-05 12:05:08,P2,24.90109,69.03697,997.9227,149640,,15.81
2025-07-05 12:05:38,P2,24.8968,68.81135,997.9379,148759,,15.75
2025-07-05 12:06:08,P2,24.89172,68.84416,997.9114,149514,,15.75
2025-07-05 12:06:38,P2,24.87277,68.34222,997.9169,150660,,15.62
2025-07-05 12:07:09,P2,24.82844,68.26672,997.8917,150660,,15.57
2025-07-05 12:07:39,P2,24.78723,68.11085,997.8728,150917,,15.49
2025-07-05 12:08:09,P2,24.755,68.0239,997.8518,152874,,15.45
2025-07-05 12:08:39,P2,24.72668,67.89798,997.8498,152478,,15.39
2025-07-05 12:09:10,P2,24.72551,67.3567,997.8441,150789,,15.27
2025-07-05 12:09:40,P2,24.75168,67.20517,997.8313,152610,,15.26
2025-07-05 12:10:10,P2,24.78566,67.02818,997.8229,151954,,15.25
2025-07-05 12:10:40,P2,24.81633,66.84217,997.839,152085,,15.23
2025-07-05 12:11:10,P2,24.81887,66.78125,997.8334,151954,,15.22
2025-07-05 12:11:41,P2,24.81379,66.78033,997.8338,152347,,15.21
2025-07-05 12:12:11,P2,24.81203,66.84853,997.8334,152742,,15.23
2025-07-05 12:12:41,P2,24.82844,66.7839,997.8172,152216,,15.23
2025-07-05 12:13:11,P2,24.8423,66.84616,997.8049,151824,,15.25
2025-07-05 12:13:41,P2,24.84211,66.88645,997.7979,151694,,15.26
2025-07-05 12:14:12,P2,24.83566,66.98633,997.8093,151175,,15.28
2025-07-05 12:14:42,P2,24.84055,66.93507,997.7804,151434,,15.27
2025-07-05 12:15:12,P2,24.86047,67.29519,997.7914,150917,,15.37
2025-07-05 12:15:42,P2,24.88996,68.79422,997.7981,148759,,15.74
2025-07-05 12:16:12,P2,24.99602,69.64069,997.8036,147151,,16.03
2025-07-05 12:16:43,P2,25.12199,70.03824,997.8039,145456,,16.23
2025-07-05 12:17:13,P2,25.23781,70.75133,997.7929,144388,,16.51
2025-07-05 12:17:43,P2,25.35031,70.67413,997.795,143801,,16.59
2025-07-05 12:18:13,P2,25.46711,71.20988,997.8032,141161,,16.83
2025-07-05 12:18:43,P2,25.55832,71.59763,997.7788,141049,,17.01
2025-07-05 12:19:14,P2,25.6382,71.91554,997.7734,139381,,17.16
2025-07-05 12:19:44,P2,25.71203,72.21857,997.7749,139272,,17.3
2025-07-05 12:20:14,P2,25.77922,72.56258,997.7607,137968,,17.45
2025-07-05 12:20:44,P2,25.83664,72.74586,997.7536,136900,,17.55
2025-07-05 12:21:14,P2,25.88625,73.08109,997.7194,135433,,17.68
2025-07-05 12:21:45,P2,25.94172,73.22316,997.7372,133996,,17.77
2025-07-05 12:22:15,P2,25.9966,74.0356,997.7537,133089,,18.02
2025-07-05 12:22:45,P2,26.05519,73.79408,997.7618,133089,,18.02
2025-07-05 12:23:15,P2,26.10871,74.09651,997.7501,131800,,18.15
2025-07-05 12:23:45,P2,26.15344,74.15262,997.7593,131213,,18.21
2025-07-05 12:24:16,P2,26.18937,74.09633,997.7368,131116,,18.23
2025-07-05 12:24:46,P2,26.23273,74.0479,997.6984,130055,,18.26
2025-07-05 12:25:16,P2,26.2548,72.73106,997.699,131213,,17.96
2025-07-05 12:25:46,P2,26.20188,71.73834,997.7003,132391,,17.66
2025-07-05 12:26:16,P2,26.06691,71.25778,997.6806,134916,,17.41
2025-07-05 12:26:47,P2,25.93605,70.97514,997.6686,134301,,17.22
2025-07-05 12:27:17,P2,25.84328,70.58214,997.6534,135953,,17.04
2025-07-05 12:27:47,P2,25.77004,70.20534,997.6602,136583,,16.88
2025-07-05 12:28:17,P2,25.68723,69.73811,997.627,137753,,16.69
2025-07-05 12:28:48,P2,25.62082,69.67419,997.6336,138508,,16.61
2025-07-05 12:29:18,P2,25.5757,69.18017,997.6262,138292,,16.45
2025-07-05 12:29:48,P2,25.53645,69.01664,997.5945,139491,,16.37
2025-07-05 12:30:18,P2,25.49367,68.6885,997.6029,140044,,16.26
2025-07-05 12:30:48,P2,25.44602,68.72166,997.6196,140600,,16.22
2025-07-05 12:31:19,P2,25.38684,68.6154,997.6115,140377,,16.14
2025-07-05 12:31:49,P2,25.32824,68.41035,997.611,140936,,16.04
2025-07-05 12:32:19,P2,25.30422,68.039,997.5959,140936,,15.93
2025-07-05 12:32:49,P2,25.28488,68.10388,997.582,142526,,15.93
2025-07-05 12:33:19,P2,25.27785,67.6759,997.5737,141727,,15.83
2025-07-05 12:33:50,P2,25.2798,67.7021,997.5648,142526,,15.83
2025-07-05 12:34:20,P2,25.2632,67.48892,997.5701,142297,,15.77
2025-07-05 12:34:50,P2,25.23449,67.48309,997.538,142411,,15.74
2025-07-05 12:35:20,P2,25.19895,67.15932,997.5288,143219,,15.64
2025-07-05 12:35:50,P2,25.17609,67.3526,997.5047,143335,,15.66
2025-07-05 12:36:21,P2,25.15617,67.13891,997.5101,143335,,15.59
2025-07-05 12:36:51,P2,25.13801,67.18465,997.4764,143451,,15.59
2025-07-05 12:37:21,P2,25.13801,66.96793,997.4727,142987,,15.54
2025-07-05 12:37:51,P2,25.13625,66.89264,997.4454,143801,,15.52
2025-07-05 12:38:22,P2,25.12219,66.82925,997.4453,144506,,15.49
2025-07-05 12:38:52,P2,25.1093,66.77367,997.4138,144388,,15.47
2025-07-05 12:39:22,P2,25.10754,66.6115,997.4227,144388,,15.43
2025-07-05 12:39:52,P2,25.10324,66.69103,997.4031,144742,,15.44
2025-07-05 12:40:22,P2,25.08488,66.70126,997.3922,144506,,15.43
2025-07-05 12:40:53,P2,25.05891,66.83226,997.4147,143801,,15.44
2025-07-05 12:41:23,P2,25.04035,66.83006,997.429,143801,,15.42
2025-07-05 12:41:53,P2,25.03859,66.81045,997.4131,143918,,15.41
2025-07-05 12:42:23,P2,25.0468,66.75055,997.4033,143801,,15.41
2025-07-05 12:42:53,P2,25.05637,66.65809,997.3829,144270,,15.39
2025-07-05 12:43:24,P2,25.07023,66.61224,997.3822,144742,,15.4
2025-07-05 12:43:54,P2,25.0716,66.73421,997.3564,144270,,15.43
2025-07-05 12:44:24,P2,25.08137,66.65531,997.4085,142987,,15.42
2025-07-05 12:44:54,P2,25.09719,66.73179,997.3812,142756,,15.45
2025-07-05 12:45:25,P2,25.10031,66.67739,997.387,144624,,15.44
2025-07-05 12:45:55,P2,25.09465,66.6901,997.3907,143219,,15.44
2025-07-05 12:46:25,P2,25.09504,66.6703,997.3765,143918,,15.43
2025-07-05 12:46:55,P2,25.09914,66.88727,997.3597,142987,,15.48
2025-07-05 12:47:25,P2,25.10168,66.77287,997.3699,142872,,15.46
2025-07-05 12:47:56,P2,25.10031,66.91402,997.3759,143103,,15.49
2025-07-05 12:48:26,P2,25.08957,66.88528,997.3547,142872,,15.48
2025-07-05 12:48:56,P2,25.08098,66.95176,997.3447,142987,,15.48
2025-07-05 12:49:26,P2,25.08078,66.99289,997.3436,142987,,15.49
2025-07-05 12:49:57,P2,25.08957,67.00142,997.3205,141727,,15.5
